"ISO3","Year","unsc","unsc_t1","unsc3","ArrangementID","avgcondtype_all","nrcondtype_all","rohstoff_cond","stabil_cond","rohstoff_cond_share","stabil_cond_share","XDebtGNI","DebtServGNI","ResXDebt","FuelExportPct","MineralExportPct","Rohstoffabhängigkeit","Rohstoffabhaengigkeit"
"CMR",2022,0,0,0,NA,NA,NA,0,0,0,0,41.2866025594679,5.8098,33.9456107572576,62.1174175971395,1.70198514355599,63.8194027406955,63.8194027406955
"CMR",2023,0,0,0,NA,NA,NA,0,0,0,0,37.8903321242578,5.5705,31.6974350057547,54.0712041809673,2.21406928262342,56.2852734635907,56.2852734635907
"CMR",2024,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CMR",2025,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"COM",2002,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"COM",2003,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"COM",2004,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"COM",2005,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"COM",2006,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"COM",2007,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"COM",2008,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"COM",2009,0,0,0,621,5.25,63,30,22,30,22,37.8969223253542,1.6544,52.6209862986815,0.0236698103289717,0.0372923820621511,0.0609621923911228,0.0609621923911228
"COM",2009,0,0,0,621,11.2352941176471,191,30,22,30,22,37.8969223253542,1.6544,52.6209862986815,0.0236698103289717,0.0372923820621511,0.0609621923911228,0.0609621923911228
"COM",2010,0,0,0,NA,NA,NA,0,0,0,0,39.5501057977388,1.5889,52.4746999105647,0.054577510381983,0.813905646134158,0.868483156516141,0.868483156516141
"COM",2011,0,0,0,NA,NA,NA,0,0,0,0,40.0009485841888,1.6951,56.6013217544776,0.0700598923083429,0.847733671298026,0.917793563606369,0.917793563606369
