"programnr","Arrangement.Number","Country.Name","MONA.Code","ISO3","Approval.Year","arrtype_group","nrquarters","approvaldate","nrcondtype_pc","nrcondtype_pa","nrcondtype_sb","nrcondtype_all","avgcondtype_all","avgcondtype_pc","avgcondtype_pa","avgcondtype_sb"
117,633,"IRAQ",433,"IRQ",2010,"EFF_SBA",8,"2010-02-24",0,6,42,48,6,0,0.75,5.25
117,633,"IRAQ",433,"IRQ",2010,"EFF_SBA",12,"2010-02-24",0,3,36,39,3.25,0,0.25,3
118,634,"MAURITANIA",682,"MRT",2010,"PRGF",12,"2010-03-15",0,0,107,107,8.91666666666667,0,0,8.91666666666667
118,634,"MAURITANIA",682,"MRT",2010,"PRGF",13,"2010-03-15",0,1,80,81,6.23076923076923,0,0.0769230769230769,6.15384615384615
119,635,"EL SALVADOR",253,"SLV",2010,"EFF_SBA",12,"2010-03-17",0,10,84,94,7.83333333333333,0,0.833333333333333,7
121,637,"GUINEA-BISSAU",654,"GNB",2010,"PRGF",12,"2010-05-07",0,0,84,84,7,0,0,7
123,641,"LESOTHO",666,"LSO",2010,"PRGF",12,"2010-06-02",0,0,66,66,5.5,0,0,5.5
123,641,"LESOTHO",666,"LSO",2010,"PRGF",14,"2010-06-02",0,0,56,56,4,0,0,4
124,643,"SIERRA LEONE",724,"SLE",2010,"PRGF",12,"2010-07-01",0,5,66,71,5.91666666666667,0,0.416666666666667,5.5
126,645,"BURKINA FASO",748,"BFA",2010,"PRGF",12,"2010-06-14",0,0,119,119,9.91666666666667,0,0,9.91666666666667
126,645,"BURKINA FASO",748,"BFA",2010,"PRGF",13,"2010-06-14",0,0,39,39,3,0,0,3
126,645,"BURKINA FASO",748,"BFA",2010,"PRGF",14,"2010-06-14",0,0,86,86,6.14285714285714,0,0,6.14285714285714
127,647,"BENIN",638,"BEN",2010,"PRGF",12,"2010-06-14",0,2,10,12,1,0,0.166666666666667,0.833333333333333
127,647,"BENIN",638,"BEN",2010,"PRGF",13,"2010-06-14",0,8,113,121,9.30769230769231,0,0.615384615384615,8.69230769230769
127,647,"BENIN",638,"BEN",2010,"PRGF",16,"2010-06-14",0,8,88,96,6,0,0.5,5.5
131,653,"YEMEN,REPUBLIC OF",474,"YEM",2010,"PRGF",7,"2010-07-30",0,2,3,5,0.714285714285714,0,0.285714285714286,0.428571428571429
133,661,"KENYA",664,"KEN",2011,"PRGF",12,"2011-01-31",0,0,37,37,3.08333333333333,0,0,3.08333333333333
139,674,"COTE D'IVOIRE",662,"CIV",2011,"PRGF",12,"2011-11-04",0,8,306,314,26.1666666666667,0,0.666666666666667,25.5
139,674,"COTE D'IVOIRE",662,"CIV",2011,"PRGF",13,"2011-11-04",0,3,98,101,7.76923076923077,0,0.230769230769231,7.53846153846154
139,674,"COTE D'IVOIRE",662,"CIV",2011,"PRGF",17,"2011-11-04",0,9,332,341,20.0588235294118,0,0.529411764705882,19.5294117647059
141,677,"MALI",678,"MLI",2011,"PRGF",4,"2011-12-27",0,0,8,8,2,0,0,2
142,678,"BURUNDI",618,"BDI",2012,"PRGF",12,"2012-01-27",0,0,78,78,6.5,0,0,6.5
142,678,"BURUNDI",618,"BDI",2012,"PRGF",13,"2012-01-27",0,0,29,29,2.23076923076923,0,0,2.23076923076923
142,678,"BURUNDI",618,"BDI",2012,"PRGF",17,"2012-01-27",0,0,38,38,2.23529411764706,0,0,2.23529411764706
143,679,"GUINEA",656,"GIN",2012,"PRGF",12,"2012-02-24",0,34,199,233,19.4166666666667,0,2.83333333333333,16.5833333333333
143,679,"GUINEA",656,"GIN",2012,"PRGF",16,"2012-02-24",0,12,69,81,5.0625,0,0.75,4.3125
143,679,"GUINEA",656,"GIN",2012,"PRGF",19,"2012-02-24",0,35,144,179,9.42105263157895,0,1.84210526315789,7.57894736842105
145,681,"NIGER",692,"NER",2012,"PRGF",12,"2012-03-16",0,2,19,21,1.75,0,0.166666666666667,1.58333333333333
145,681,"NIGER",692,"NER",2012,"PRGF",15,"2012-03-16",0,6,69,75,5,0,0.4,4.6
145,681,"NIGER",692,"NER",2012,"PRGF",19,"2012-03-16",0,10,129,139,7.31578947368421,0,0.526315789473684,6.78947368421053
148,685,"GAMBIA, THE",648,"GMB",2012,"PRGF",12,"2012-05-25",0,1,43,44,3.66666666666667,0,0.0833333333333333,3.58333333333333
149,686,"CENTRAL AFRICAN REPUBLIC",626,"CAF",2012,"PRGF",8,"2012-06-25",0,2,14,16,2,0,0.25,1.75
150,688,"SAO TOME AND PRINCIPE",716,"STP",2012,"PRGF",12,"2012-07-20",0,0,43,43,3.58333333333333,0,0,3.58333333333333
151,689,"MALAWI",676,"MWI",2012,"PRGF",12,"2012-07-23",0,6,38,44,3.66666666666667,0,0.5,3.16666666666667
151,689,"MALAWI",676,"MWI",2012,"PRGF",14,"2012-07-23",0,8,31,39,2.78571428571429,0,0.571428571428571,2.21428571428571
151,689,"MALAWI",676,"MWI",2012,"PRGF",16,"2012-07-23",0,13,50,63,3.9375,0,0.8125,3.125
151,689,"MALAWI",676,"MWI",2012,"PRGF",20,"2012-07-23",0,35,118,153,7.65,0,1.75,5.9
152,690,"JORDAN",439,"JOR",2012,"EFF_SBA",12,"2012-08-03",0,0,149,149,12.4166666666667,0,0,12.4166666666667
154,693,"LIBERIA",668,"LBR",2012,"PRGF",12,"2012-11-19",0,5,74,79,6.58333333333333,0,0.416666666666667,6.16666666666667
154,693,"LIBERIA",668,"LBR",2012,"PRGF",13,"2012-11-19",0,6,40,46,3.53846153846154,0,0.461538461538462,3.07692307692308
154,693,"LIBERIA",668,"LBR",2012,"PRGF",17,"2012-11-19",0,9,54,63,3.70588235294118,0,0.529411764705882,3.17647058823529
154,693,"LIBERIA",668,"LBR",2012,"PRGF",20,"2012-11-19",0,23,130,153,7.65,0,1.15,6.5
158,699,"TUNISIA",744,"TUN",2013,"EFF_SBA",8,"2013-06-07",0,3,127,130,16.25,0,0.375,15.875
158,699,"TUNISIA",744,"TUN",2013,"EFF_SBA",10,"2013-06-07",0,6,135,141,14.1,0,0.6,13.5
161,705,"SIERRA LEONE",724,"SLE",2013,"PRGF",12,"2013-10-21",0,9,117,126,10.5,0,0.75,9.75
161,705,"SIERRA LEONE",724,"SLE",2013,"PRGF",13,"2013-10-21",0,10,117,127,9.76923076923077,0,0.769230769230769,9
162,707,"MALI",678,"MLI",2013,"PRGF",12,"2013-12-18",0,11,48,59,4.91666666666667,0,0.916666666666667,4
162,707,"MALI",678,"MLI",2013,"PRGF",16,"2013-12-18",0,8,59,67,4.1875,0,0.5,3.6875
162,707,"MALI",678,"MLI",2013,"PRGF",20,"2013-12-18",0,12,134,146,7.3,0,0.6,6.7
163,708,"BURKINA FASO",748,"BFA",2013,"PRGF",12,"2013-12-27",0,0,118,118,9.83333333333333,0,0,9.83333333333333
163,708,"BURKINA FASO",748,"BFA",2013,"PRGF",14,"2013-12-27",0,0,54,54,3.85714285714286,0,0,3.85714285714286
163,708,"BURKINA FASO",748,"BFA",2013,"PRGF",15,"2013-12-27",0,0,54,54,3.6,0,0,3.6
170,717,"CHAD",628,"TCD",2014,"PRGF",12,"2014-08-01",0,4,46,50,4.16666666666667,0,0.333333333333333,3.83333333333333
171,718,"YEMEN,REPUBLIC OF",474,"YEM",2014,"PRGF",6,"2014-09-02",0,6,23,29,4.83333333333333,0,1,3.83333333333333
174,725,"GHANA",652,"GHA",2015,"PRGF",12,"2015-04-03",0,35,98,133,11.0833333333333,0,2.91666666666667,8.16666666666667
174,725,"GHANA",652,"GHA",2015,"PRGF",16,"2015-04-03",0,59,182,241,15.0625,0,3.6875,11.375
177,730,"GUINEA-BISSAU",654,"GNB",2015,"PRGF",12,"2015-07-10",0,3,104,107,8.91666666666667,0,0.25,8.66666666666667
177,730,"GUINEA-BISSAU",654,"GNB",2015,"PRGF",16,"2015-07-10",0,1,38,39,2.4375,0,0.0625,2.375
178,731,"SAO TOME AND PRINCIPE",716,"STP",2015,"PRGF",12,"2015-07-13",0,4,36,40,3.33333333333333,0,0.333333333333333,3
178,731,"SAO TOME AND PRINCIPE",716,"STP",2015,"PRGF",14,"2015-07-13",0,9,49,58,4.14285714285714,0,0.642857142857143,3.5
180,735,"TUNISIA",744,"TUN",2016,"EFF_SBA",16,"2016-05-20",0,72,252,324,20.25,0,4.5,15.75
181,737,"SURINAME",366,"SUR",2016,"EFF_SBA",4,"2016-05-27",0,5,22,27,6.75,0,1.25,5.5
183,741,"IRAQ",433,"IRQ",2016,"EFF_SBA",12,"2016-07-07",0,20,59,79,6.58333333333333,0,1.66666666666667,4.91666666666667
184,742,"MADAGASCAR",674,"MDG",2016,"PRGF",14,"2016-07-27",0,40,159,199,14.2142857142857,0,2.85714285714286,11.3571428571429
184,742,"MADAGASCAR",674,"MDG",2016,"PRGF",15,"2016-07-27",0,9,33,42,2.8,0,0.6,2.2
185,744,"JORDAN",439,"JOR",2016,"EFF_SBA",12,"2016-08-24",0,12,64,76,6.33333333333333,0,1,5.33333333333333
185,744,"JORDAN",439,"JOR",2016,"EFF_SBA",15,"2016-08-24",0,11,51,62,4.13333333333333,0,0.733333333333333,3.4
