orgorder	strucperf	arrnum	countryname	arrtype	approvaldate	initialenddate	actualenddate	boardactdate	dqpccode	dqpc	dqpcnote	testdate	revstatus	comments	units	programamt	actualamt	programtype	reviewtype
P010801225	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	16	Credit to Government/public sector		09.30.2007	M	Cumulative flow since September 2006	NC (billions)	0	-1.403	P1	R2
P010801226	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	16	Credit to Government/public sector		03.31.2008	PC	Cumulative flows since September 2007	NC (billions)	0.293		P1	R2
P010801227	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	16	Credit to Government/public sector		09.30.2008	PC		NC (billions)	0		P1	R2
P010801228	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	32	BOP/Reserve Test		03.31.2007	M	Cumulative flow since September 2006. Adjusted amount reflect application of adjustor on program level. At P1R2, actual amount revised from .088 (NC bill) to .092.	US$(billions)	0.015	0.092	P1	R2
P010801229	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	32	BOP/Reserve Test		09.30.2007	M	cumulative flows from end-Sept 06	US$(billions)	0.03	0.162	P1	R2
P010801230	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	32	BOP/Reserve Test		03.31.2008	PC	Cumulative flows since September 2007	US$(billions)	0.02		P1	R2
P010801231	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	32	BOP/Reserve Test		09.30.2008	PC		US$(billions)	0.04		P1	R2
P010801232	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	47	Medium /Long Term External Debt		Continuous	PC		US$(billions)	0		P1	R2
P010801233	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	47	Medium /Long Term External Debt		03.31.2007	M	Met for P1R1.	US$(billions)	0	0	P1	R2
P010801234	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	47	Medium /Long Term External Debt		09.30.2007	M	Met for P1R2.	US$(billions)	0	0	P1	R2
P010801235	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	84	Short term Debt		Continuous	PC		US$(billions)	0		P1	R2
P010801236	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	84	Short term Debt		03.31.2007	M	Met for P1R1.	US$(billions)	0	0	P1	R2
P010801237	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	84	Short term Debt		09.30.2007	M	Met for P1R2.	US$(billions)	0	0	P1	R2
P010801238	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	107	No New arrears/default(continuous injunction)		Continuous	PC		US$(billions)	0		P1	R2
P010801239	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	107	No New arrears/default(continuous injunction)		03.31.2007	M	Met for P1R1.	US$(billions)	0	0	P1	R2
P010801240	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	107	No New arrears/default(continuous injunction)		09.30.2007	PC	Met for P1R2.	US$(billions)	0	0	P1	R2
P010801241	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	149	Domestic Arrears		Continuous	PC		US$(billions)	0		P1	R2
P010801242	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	149	Domestic Arrears		03.31.2007	M	Met for P1R1.	US$(billions)	0	0	P1	R2
P010801243	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	149	Domestic Arrears		09.30.2007	PC	Met for P1R2.	US$(billions)	0	0	P1	R2
P010801244	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	7.1	Revenues	Net domestic banking sector credit to the NFPS	09.30.2008	PC		NC (millions)	0		P1	R2
P010801245	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	7.1	Revenues	Net domestic banking sector credit to the NFPS	03.31.2008	PC		NC (millions)	29.3		P1	R2
P010801246	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	7.1	Revenues	Net domestic banking sector credit to the NFPS	03.31.2007	M		NC (millions)	-349	-2031	P1	R2
P010801247	performance	572	haiti	PRGF	20.11.2006	19.11.2009		29.02.2008	7.1	Revenues	Net domestic banking sector credit to the NFPS	09.30.2007	M		NC (millions)	0	-1403	P1	R2
P010801248	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	1	Total domestic credit		06.30.2004	M		NC (billions)	-13.827	-15.956	P1	R3
P010801249	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	1	Total domestic credit		12.31.2004	M		NC (billions)	-14.075	-20.861	P1	R3
P010801250	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	1	Total domestic credit		06.30.2005	M		NC (billions)	-17.002	-24.908	P1	R3
P010801251	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	1	Total domestic credit		12.31.2005	PC		NC (billions)	-24.579		P1	R3
P010801252	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	1	Total domestic credit		06.30.2006	PC		NC (billions)	-27.566		P1	R3
P010801253	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	16	Credit to Government/public sector		06.30.2004	M		NC (billions)	-0.968	-1.549	P1	R3
P010801254	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	16	Credit to Government/public sector		12.31.2004	M		NC (billions)	-0.237	-2.142	P1	R3
P010801255	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	16	Credit to Government/public sector		06.30.2005	M		NC (billions)	0.149	-2.254	P1	R3
P010801256	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	16	Credit to Government/public sector		12.31.2005	PC		NC (billions)	-0.532		P1	R3
P010801257	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	16	Credit to Government/public sector		06.30.2006	PC		NC (billions)	0.721		P1	R3
P010801258	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	32	BOP/Reserve Test		06.30.2004	M		US$ (billions)	1.155	1.297	P1	R3
P010801259	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	32	BOP/Reserve Test		12.31.2004	M		US$ (billions)	1.205	1.623	P1	R3
P010801260	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	32	BOP/Reserve Test		06.30.2005	M		US$ (billions)	1.33	1.794	P1	R3
P010801261	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	32	BOP/Reserve Test		12.31.2005	PC		US$ (billions)	1.833		P1	R3
P010801262	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	32	BOP/Reserve Test		06.30.2006	PC		US$ (billions)	1.98		P1	R3
P010801263	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	47	Medium /Long Term External Debt		06.30.2004	M		US$ (billions)	0.0033	0	P1	R3
P010801264	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	47	Medium /Long Term External Debt		12.31.2004	M		US$ (billions)	0.0033	0	P1	R3
P010801265	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	47	Medium /Long Term External Debt		06.30.2005	M	Met for P1R3.	US$ (billions)	0	0	P1	R3
P010801266	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	47	Medium /Long Term External Debt		Continuous	PC	At P1R2, test dates for this qpc changed from point in time, to continuous.	US$ (billions)	0		P1	R3
P010801267	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	84	Short term Debt		Continuous	PC	This qpc introduced at P1R2, to be monitored on a continuous basis.	US$ (billions)	0		P1	R3
P010801268	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	84	Short term Debt		06.30.2005	M	Met for P1R3.	US$ (billions)	0	0	P1	R3
P010801269	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	114	Ceiling on External Arrears		06.30.2004	M		US$ (billions)	0	0	P1	R3
P010801270	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	114	Ceiling on External Arrears		12.31.2004	M		US$ (billions)	0	0	P1	R3
P010801271	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	114	Ceiling on External Arrears		06.30.2005	M		US$ (billions)	0	0	P1	R3
P010801272	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	114	Ceiling on External Arrears		Continuous	PC	Monitored on a continuous basis, as per EBS/04/10, page 32, paragraph 5.	US$ (billions)	0		P1	R3
P010801273	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	135	Fiscal deficit		06.30.2004	M		NC (billions)	1.76	0.477	P1	R3
P010801274	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	135	Fiscal deficit		12.31.2004	M		NC (billions)	4.611	4.731	P1	R3
P010801275	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	135	Fiscal deficit		06.30.2005	M		NC (billions)	1.667	0.644	P1	R3
P010801276	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	135	Fiscal deficit		12.31.2005	PC		NC (billions)	4.562		P1	R3
P010801277	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	135	Fiscal deficit		06.30.2006	PC		NC (billions)	1.614		P1	R3
P010801278	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	7.2	Expenditures	Overall deficit of the combined public sector	06.30.2004	M		NC (billions)	1.804	0.136	P1	R3
P010801279	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	7.2	Expenditures	Overall deficit of the combined public sector	12.31.2004	M		NC (billions)	3.967	4.008	P1	R3
P010801280	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	7.2	Expenditures	Overall deficit of the combined public sector	06.30.2005	M		NC (billions)	1.752	-0.557	P1	R3
P010801281	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	7.5	Wages	Central government wage bill	06.30.2004	M		NC (billions)	6.86	6.565	P1	R3
P010801282	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	7.2	Expenditures	Overall deficit of the combined public sector	12.31.2005	PC		NC (billions)	3.859		P1	R3
P010801283	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	7.5	Wages	Central government wage bill	06.30.2005	M		NC (billions)	7.455	7.104	P1	R3
P010801284	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	7.5	Wages	Central government wage bill	12.31.2004	M		NC (billions)	13.75	13.748	P1	R3
P010801285	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	7.2	Expenditures	Overall deficit of the combined public sector	06.30.2006	PC		NC (billions)	1.86		P1	R3
P010801286	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	7.5	Wages	Central government wage bill	06.30.2006	PC		NC (billions)	8.481		P1	R3
P010801287	performance	542	honduras	PRGF	18.02.2004	26.02.2007		16.12.2005	7.5	Wages	Central government wage bill	12.31.2005	PC		NC (billions)	15.149		P1	R3
P010801288	performance	591	honduras	SBA	07.04.2008	06.04.2009		07.04.2008	1	Total domestic credit		06.30.2008	PC	Cumulative flows from end-2007.	NCU (millions)	-34320		P1	R0
P010801289	performance	591	honduras	SBA	07.04.2008	06.04.2009		07.04.2008	1	Total domestic credit		09.30.2008	PC	Cumulative flows from end-2007.	NCU (millions)	-36036		P1	R0
P010801290	performance	591	honduras	SBA	07.04.2008	06.04.2009		07.04.2008	1	Total domestic credit		12.30.2008	PC	Cumulative flows from end-2007.	NCU (millions)	-34241		P1	R0
P010801291	performance	591	honduras	SBA	07.04.2008	06.04.2009		07.04.2008	16	Credit to Government/public sector		06.30.2008	PC	Cumulative flows from end-2007.	NCU (millions)	-1090		P1	R0
P010801292	performance	591	honduras	SBA	07.04.2008	06.04.2009		07.04.2008	16	Credit to Government/public sector		09.30.2008	PC	Cumulative flows from end-2007.	NCU (millions)	-2452		P1	R0
P010801293	performance	591	honduras	SBA	07.04.2008	06.04.2009		07.04.2008	16	Credit to Government/public sector		12.30.2008	PC	Cumulative flows from end-2007.	NCU (millions)	-3481		P1	R0
P010801294	performance	591	honduras	SBA	07.04.2008	06.04.2009		07.04.2008	32	BOP/Reserve Test		06.30.2008	PC		US$(millions)	2593		P1	R0
P010801295	performance	591	honduras	SBA	07.04.2008	06.04.2009		07.04.2008	32	BOP/Reserve Test		09.30.2008	PC		US$(millions)	2623		P1	R0
P010801296	performance	591	honduras	SBA	07.04.2008	06.04.2009		07.04.2008	32	BOP/Reserve Test		12.30.2008	PC		US$(millions)	2726		P1	R0
P010801297	performance	591	honduras	SBA	07.04.2008	06.04.2009		07.04.2008	107	No New arrears/default(continuous injunction)		Continuous	PC	Cumulative flows from end-2007.	NCU (millions)	0		P1	R0
P010801298	performance	591	honduras	SBA	07.04.2008	06.04.2009		07.04.2008	114	Ceiling on External Arrears		Continuous	PC	Cumulative flows from end-2007.	NCU (millions)	0		P1	R0
P010801299	performance	591	honduras	SBA	07.04.2008	06.04.2009		07.04.2008	135	Fiscal deficit		06.30.2008	PC	Cumulative flows from end-2007.	NCU (millions)	-484		P1	R0
P010801300	performance	591	honduras	SBA	07.04.2008	06.04.2009		07.04.2008	135	Fiscal deficit		09.30.2008	PC	Cumulative flows from end-2007.	NCU (millions)	-1897		P1	R0
P010801301	performance	591	honduras	SBA	07.04.2008	06.04.2009		07.04.2008	135	Fiscal deficit		12.30.2008	PC	Cumulative flows from end-2007.	NCU (millions)	-4099		P1	R0
P010801302	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	16	Credit to Government/public sector		12.31.2005	M	Cumulative change from September 2005.	NC (billions)	5100	5100	P1	R5
P010801303	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	16	Credit to Government/public sector		03.31.2006	M	Cumulative change from September 2005.	NC (billions)	5100	5100	P1	R5
P010801304	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	16	Credit to Government/public sector		06.30.2006	W	 Cumulative change from September 2005. At P1R1R2, waiver of applicability granted, as outcome for end-June 2006 was unknown at time of Executive Board meeting. 	NC (billions)	5100		P1	R5
P010801305	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	16	Credit to Government/public sector		09.30.2006	M	Cumulative change from September 2005.	NC (billions)	5100	5100	P1	R5
P010801306	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	16	Credit to Government/public sector		12.31.2006	M	Cumulative change from September 2005.	NC (billions)	5100	5100	P1	R5
P010801307	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	16	Credit to Government/public sector		03.31.2007	M		NC (billions)	5100	5100	P1	R5
P010801308	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	16	Credit to Government/public sector		06.30.2007	W	At P1R5, waiver of applicability granted.	NC (billions)	5100		P1	R5
P010801309	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	16	Credit to Government/public sector		09.30.2007	PC		NC (billions)	5100		P1	R5
P010801310	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	32	BOP/Reserve Test		12.31.2005	M	Cumulative change from September 2005.	US$ (billions)	8.5	11.541	P1	R5
P010801311	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	32	BOP/Reserve Test		03.31.2006	M	Cumulative change from September 2005.	US$ (billions)	8.5	12.076	P1	R5
P010801312	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	32	BOP/Reserve Test		06.30.2006	W	 Cumulative change from September 2005. At P1R1R2, waiver of applicability granted, as outcome for end-June 2006 was unknown at time of Executive Board meeting. 	US$ (billions)	8.5		P1	R5
P010801313	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	32	BOP/Reserve Test		09.30.2006	M	Cumulative change from September 2005.	US$ (billions)	8.5	13.752	P1	R5
P010801314	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	32	BOP/Reserve Test		12.31.2006	M	Cumulative change from September 2005.	US$ (billions)	8.5	18.244	P1	R5
P010801315	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	32	BOP/Reserve Test		03.31.2007	M		US$(billions)	8.5	17.003	P1	R5
P010801316	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	32	BOP/Reserve Test		06.30.2007	W	At P1R5, waiver of applicability granted.	US$(billions)	8.5		P1	R5
P010801317	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	32	BOP/Reserve Test		09.30.2007	PC		US$(billions)	8.5		P1	R5
P010801318	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	47	Medium /Long Term External Debt		12.31.2005	M		US$ (billions)	0.5	0	P1	R5
P010801319	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	47	Medium /Long Term External Debt		03.31.2006	M		US$ (billions)	0.5	0	P1	R5
P010801320	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	47	Medium /Long Term External Debt		06.30.2006	W	At P1R1R2, waiver of applicability granted, as outcome for end-June 2006 was unknown at time of Executive Board meeting.	US$ (billions)	0.5		P1	R5
P010801321	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	47	Medium /Long Term External Debt		09.30.2006	M		US$ (billions)	0.5	0	P1	R5
P010801322	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	47	Medium /Long Term External Debt		12.31.2006	M		US$ (billions)	0.5	0	P1	R5
P010801323	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	47	Medium /Long Term External Debt		03.31.2007	M	The program ceiling excludes loans with a grand element of 35 percent or more of up to Yen 350 billion for reconstruction projects to be contracted with the government of Japan in 2007.	US$(billions)	0.5	0	P1	R5
P010801324	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	47	Medium /Long Term External Debt		06.30.2007	W	At P1R5, waiver of applicability granted.	US$(billions)	0.5		P1	R5
P010801325	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	47	Medium /Long Term External Debt		09.30.2007	PC		US$(billions)	0.5		P1	R5
P010801326	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	107	No New arrears/default(continuous injunction)		Continuous	PC		US$ (billions)	0		P1	R5
P010801327	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	107	No New arrears/default(continuous injunction)		03.31.2006	W	Waived at P1R1R2.	US$(billions)	0	0.653	P1	R5
P010801328	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	107	No New arrears/default(continuous injunction)		06.30.2006	W	At P1R1R2, waiver of applicability granted, as outcome for end-June 2006 was unknown at time of Executive Board meeting.	US$(billions)	0		P1	R5
P010801329	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	107	No New arrears/default(continuous injunction)		12.31.2006	M	Met for P1R3R4.	US$(billions)	0	0	P1	R5
P010801330	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	107	No New arrears/default(continuous injunction)		03.31.2007	M	Met for P1R5.	US$(billions)	0	0	P1	R5
P010801331	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	135	Fiscal deficit		12.31.2005	M	Flows for 12/31/05 are cumulative for 2005.	NC (billions)	5400	-5102	P1	R5
P010801332	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	135	Fiscal deficit		03.31.2006	M	Flows for 2006 are cumulative starting 1/1/2006.	NC (billions)	1950	-819	P1	R5
P010801333	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	135	Fiscal deficit		06.30.2006	W	At P1R1R2, waiver of applicability granted, as outcome for end-June 2006 was unknown at time of Executive Board meeting. Flows for 2006 are cumulative starting 1/1/2006.	NC (billions)	3600		P1	R5
P010801334	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	135	Fiscal deficit		09.30.2006	M	Flows for 2006 are cumulative starting 1/1/2006.	NC (billions)	4850	-11220	P1	R5
P010801335	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	135	Fiscal deficit		12.31.2006	M	Flows for 2006 are cumulative starting 1/1/2006.	NC (billions)	5300	-8947	P1	R5
P010801336	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	135	Fiscal deficit		03.31.2007	M	At P1R3R4 the definition for fiscal deficit changed from government primary fiscal deficit to central government total financing. Flows for 2007 are cumulative starting 1/1/2007.	NC (billions)	3000	-1688	P1	R5
P010801337	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	135	Fiscal deficit		06.30.2007	W	At P1R3R4 the definition for fiscal deficit changed from government primary fiscal deficit to central government total financing. Flows for 2007 are cumulative starting 1/1/2007. At P1R5, waiver of applicability granted.	NC (billions)	5350		P1	R5
P010801338	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	135	Fiscal deficit		09.30.2007	PC		NC (billions)	5700		P1	R5
P010801339	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	149	Domestic Arrears		12.31.2005	M		NC (billions)	6650	7069	P1	R5
P010801340	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	149	Domestic Arrears		03.31.2006	M		NC (billions)	2400	2051	P1	R5
P010801341	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	149	Domestic Arrears		06.30.2006	W	At P1R1R2, waiver of applicability granted, as outcome for end-June 2006 was unknown at time of Executive Board meeting.	NC (billions)	4750		P1	R5
P010801342	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	149	Domestic Arrears		09.30.2006	M		NC (billions)	7100	5875	P1	R5
P010801343	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	149	Domestic Arrears		12.31.2006	M		NC (billions)	9500	7792	P1	R5
P010801344	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	149	Domestic Arrears		03.31.2007	M		NC (billions)	2525	1644	P1	R5
P010801345	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	149	Domestic Arrears		06.30.2007	W	At P1R5, waiver of applicability granted.	NC (billions)	5050		P1	R5
P010801346	performance	564	iraq	SBA	23.12.2005	22.03.2007	28.12.2007	01.08.2007	149	Domestic Arrears		09.30.2007	PC		NC (billions)	7575		P1	R5
P010801347	performance	588	iraq	SBA	19.12.2007	18.03.2009		19.12.2007	1	Total domestic credit		12.31.2007	PC	The ceiling involves lending to the government and the private sector. Cumulative change from June 2007.	NCU (billions)	5230		P1	R0
P010801348	performance	588	iraq	SBA	19.12.2007	18.03.2009		19.12.2007	1	Total domestic credit		03.31.2008	PC	The ceiling involves lending to the government and the private sector. Cumulative change from June 2007.	NCU (billions)	5230		P1	R0
P010801349	performance	588	iraq	SBA	19.12.2007	18.03.2009		19.12.2007	1	Total domestic credit		06.30.2008	PC	The ceiling involves lending to the government and the private sector. Cumulative change from June 2007.	NCU (billions)	5230		P1	R0
P010801350	performance	588	iraq	SBA	19.12.2007	18.03.2009		19.12.2007	32	BOP/Reserve Test		12.31.2007	PC	Cumulative change from June 2007.	US$(billions)	21.045		P1	R0
P010801351	performance	588	iraq	SBA	19.12.2007	18.03.2009		19.12.2007	32	BOP/Reserve Test		03.31.2008	PC	Cumulative change from June 2007.	US$(billions)	21.045		P1	R0
P010801352	performance	588	iraq	SBA	19.12.2007	18.03.2009		19.12.2007	32	BOP/Reserve Test		06.30.2008	PC	Cumulative change from June 2007.	US$(billions)	21.045		P1	R0
P010801353	performance	588	iraq	SBA	19.12.2007	18.03.2009		19.12.2007	47	Medium /Long Term External Debt		12.31.2007	PC	Cumulative flow from beginning of calendar year.	US$ (millions)	500		P1	R0
P010801354	performance	588	iraq	SBA	19.12.2007	18.03.2009		19.12.2007	47	Medium /Long Term External Debt		03.31.2008	PC	Cumulative flow from beginning of calendar year.	US$ (millions)	500		P1	R0
P010801355	performance	588	iraq	SBA	19.12.2007	18.03.2009		19.12.2007	47	Medium /Long Term External Debt		06.30.2008	PC	Cumulative flow from beginning of calendar year.	US$ (millions)	500		P1	R0
P010801356	performance	588	iraq	SBA	19.12.2007	18.03.2009		19.12.2007	107	No New arrears/default(continuous injunction)		Continuous	PC		US$(million)	0		P1	R0
P010801357	performance	588	iraq	SBA	19.12.2007	18.03.2009		19.12.2007	135	Fiscal deficit		12.31.2007	PC	This criteria is measured from below-the-line and therefore is refered to as Central government total financing. Cumulative change from June 2007.	NCU (billions)	7600		P1	R0
P010801358	performance	588	iraq	SBA	19.12.2007	18.03.2009		19.12.2007	135	Fiscal deficit		03.31.2008	PC	This criteria is measured from below-the-line and therefore is refered to as Central government total financing. Cumulative change from June 2007.	NCU (billions)	2200		P1	R0
P010801359	performance	588	iraq	SBA	19.12.2007	18.03.2009		19.12.2007	135	Fiscal deficit		06.30.2008	PC	This criteria is measured from below-the-line and therefore is refered to as Central government total financing. Cumulative change from June 2007.	NCU (billions)	3750		P1	R0
P010801360	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	1	Total domestic credit		09.30.2002	M		NC (billions)	0	-0.54	P1	R3
P010801361	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	1	Total domestic credit		12.31.2002	M		NC (billions)	0.03	-0.52	P1	R3
P010801362	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	1	Total domestic credit		06.30.2003	M		NC (billions)	-0.15	-0.419	P1	R3
P010801363	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	1	Total domestic credit		09.30.2003	M		NC (billions)	-0.17	-0.665	P1	R3
P010801364	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	1	Total domestic credit		12.31.2003	M		NC (billions)	-0.15	-0.588	P1	R3
P010801365	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	1	Total domestic credit		03.31.2004	M		NC (billions)	0.139	-0.005	P1	R3
P010801366	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	32	BOP/Reserve Test		09.30.2002	M		US$ (billions)	-0.01	0.57	P1	R3
P010801367	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	32	BOP/Reserve Test		12.31.2002	M		US$ (billions)	0	0.65	P1	R3
P010801368	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	32	BOP/Reserve Test		06.30.2003	M		US$ (billions)	0.06	0.661	P1	R3
P010801369	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	32	BOP/Reserve Test		09.30.2003	M		US$ (billions)	0.09	0.949	P1	R3
P010801370	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	32	BOP/Reserve Test		12.31.2003	M		US$ (billions)	0.11	0.988	P1	R3
P010801371	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	32	BOP/Reserve Test		03.31.2004	M		US$ (billions)	-0.376	-0.117	P1	R3
P010801372	performance	505	jordan	SBA	03.07.2002	02.07.2004		06.07.2004	47	Medium /Long Term External Debt		09.30.2002	M		US$ (billions)	0.35	0.13	P1	R3
