orgorder	strucperf	arrange	countryname	arrangetype	approvaldate	durationto	quantperfcode	description	testdate	status	reviewcomment	programstatus	programtype	reviewtype
P930100078	performance	117	algeria	ESAF	14.07.1993	13.07.1996	745	Net Credit to State Enterprises	12.31.1994	M	Rev. postponed since Dec. mission not able to compl. rev.; waivers granted for non-observnc of p.c.: 1)preparation of update PIP for 94-97; 2)draft law on land sales & on the expedited settlemt of land disputes; 3)reductn in civil serv. emplymt; Board me	P2R1	P2	R1
P930100079	performance	117	algeria	ESAF	14.07.1993	13.07.1996	747	Public Investment Program	10.31.1994	W	Rev. postponed since Dec. mission not able to compl. rev.; waivers granted for non-observnc of p.c.: 1)preparation of update PIP for 94-97; 2)draft law on land sales & on the expedited settlemt of land disputes; 3)reductn in civil serv. emplymt; Board me	P2R1	P2	R1
P930100080	performance	117	algeria	ESAF	14.07.1993	13.07.1996	748	Draft Laws on Mortgages etc.	10.31.1994	W	Rev. postponed since Dec. mission not able to compl. rev.; waivers granted for non-observnc of p.c.: 1)preparation of update PIP for 94-97; 2)draft law on land sales & on the expedited settlemt of land disputes; 3)reductn in civil serv. emplymt; Board me	P2R1	P2	R1
P930100081	performance	77	algeria	SBA	27.05.1994	26.05.1995	1	Domestic Credit	6.30.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100082	performance	77	algeria	SBA	27.05.1994	26.05.1995	1	Domestic Credit	9.30.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100083	performance	77	algeria	SBA	27.05.1994	26.05.1995	1	Domestic Credit	12.31.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100084	performance	77	algeria	SBA	27.05.1994	26.05.1995	1	Domestic Credit	3.31.1995		Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100085	performance	77	algeria	SBA	27.05.1994	26.05.1995	2	Credit to Government/Public Sector	6.30.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100086	performance	77	algeria	SBA	27.05.1994	26.05.1995	2	Credit to Government/Public Sector	9.30.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100087	performance	77	algeria	SBA	27.05.1994	26.05.1995	2	Credit to Government/Public Sector	12.31.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100088	performance	77	algeria	SBA	27.05.1994	26.05.1995	2	Credit to Government/Public Sector	3.31.1995		Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100089	performance	77	algeria	SBA	27.05.1994	26.05.1995	3	BOP/Reserve Test	6.30.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100090	performance	77	algeria	SBA	27.05.1994	26.05.1995	3	BOP/Reserve Test	9.30.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100091	performance	77	algeria	SBA	27.05.1994	26.05.1995	3	BOP/Reserve Test	12.31.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100092	performance	77	algeria	SBA	27.05.1994	26.05.1995	3	BOP/Reserve Test	3.31.1995		Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100093	performance	77	algeria	SBA	27.05.1994	26.05.1995	4	Med/Long-term Ext Debt Ceiling	6.30.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100094	performance	77	algeria	SBA	27.05.1994	26.05.1995	4	Med/Long-term Ext Debt Ceiling	9.30.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
