orgorder	strucperf	arrange	countryname	arrangetype	approvaldate	durationto	quantperfcode	description	testdate	status	reviewcomment	programstatus	programtype	reviewtype
P930107752	performance	298	peru	EFF	24.06.1999	31.05.2002	6	Short-term Debt	6.30.1999	M	Waivers granted.	P1R1	P1	R1
P930107753	performance	298	peru	EFF	24.06.1999	31.05.2002	6	Short-term Debt	9.30.1999	M	Waivers granted.	P1R1	P1	R1
P930107754	performance	298	peru	EFF	24.06.1999	31.05.2002	6	Short-term Debt	12.31.1999	M	Waivers granted.	P1R1	P1	R1
P930107755	performance	298	peru	EFF	24.06.1999	31.05.2002	6	Short-term Debt	3.31.2000	PC	Waivers granted.	P1R1	P1	R1
P930107756	performance	298	peru	EFF	24.06.1999	31.05.2002	6	Short-term Debt	6.30.2000	PC	Waivers granted.	P1R1	P1	R1
P930107757	performance	298	peru	EFF	24.06.1999	31.05.2002	8	No New External Arrears	Continuous	M	Waivers granted.	P1R1	P1	R1
P930107758	performance	298	peru	EFF	24.06.1999	31.05.2002	9	Fiscal Deficit	6.30.1999	M	Waivers granted.	P1R1	P1	R1
P930107759	performance	298	peru	EFF	24.06.1999	31.05.2002	9	Fiscal Deficit	9.30.1999	NM	Waivers granted.	P1R1	P1	R1
P930107760	performance	298	peru	EFF	24.06.1999	31.05.2002	9	Fiscal Deficit	12.31.1999	W	Waivers granted.	P1R1	P1	R1
P930107761	performance	298	peru	EFF	24.06.1999	31.05.2002	9	Fiscal Deficit	3.31.2000	PC	Waivers granted.	P1R1	P1	R1
P930107762	performance	298	peru	EFF	24.06.1999	31.05.2002	9	Fiscal Deficit	6.30.2000	PC	Waivers granted.	P1R1	P1	R1
P930107763	performance	355	peru	SBA	12.03.2001	11.03.2002	1	Domestic Credit	3.31.2001	PC		P1	P1	
P930107764	performance	355	peru	SBA	12.03.2001	11.03.2002	1	Domestic Credit	6.30.2001	PC		P1	P1	
P930107765	performance	355	peru	SBA	12.03.2001	11.03.2002	1	Domestic Credit	9.30.2001	PC		P1	P1	
P930107766	performance	355	peru	SBA	12.03.2001	11.03.2002	3	BOP/Reserve Test	3.31.2001	PC		P1	P1	
P930107767	performance	355	peru	SBA	12.03.2001	11.03.2002	3	BOP/Reserve Test	6.30.2001	PC		P1	P1	
P930107768	performance	355	peru	SBA	12.03.2001	11.03.2002	4	Med/Long-term Ext Debt Ceiling	3.31.2001	PC		P1	P1	
P930107769	performance	355	peru	SBA	12.03.2001	11.03.2002	4	Med/Long-term Ext Debt Ceiling	6.30.2001	PC		P1	P1	
P930107770	performance	355	peru	SBA	12.03.2001	11.03.2002	5	Med/Long-term Ext Debt-Sub Ceiling	3.31.2001	PC		P1	P1	
P930107771	performance	355	peru	SBA	12.03.2001	11.03.2002	5	Med/Long-term Ext Debt-Sub Ceiling	6.30.2001	PC		P1	P1	
P930107772	performance	355	peru	SBA	12.03.2001	11.03.2002	6	Short-term Debt	3.31.2001	PC		P1	P1	
P930107773	performance	355	peru	SBA	12.03.2001	11.03.2002	6	Short-term Debt	6.30.2001	PC		P1	P1	
P930107774	performance	355	peru	SBA	12.03.2001	11.03.2002	8	No New External Arrears	Continuous	PC		P1	P1	
P930107775	performance	355	peru	SBA	12.03.2001	11.03.2002	9	Fiscal Deficit	3.31.2001	PC		P1	P1	
P930107776	performance	355	peru	SBA	12.03.2001	11.03.2002	9	Fiscal Deficit	6.30.2001	PC		P1	P1	
P930107777	performance	391	peru	SBA	01.02.2002	29.02.2004	1	Domestic Credit	3.31.2002	M		P1R4	P1	R4
P930107778	performance	391	peru	SBA	01.02.2002	29.02.2004	1	Domestic Credit	6.30.2002	M		P1R4	P1	R4
P930107779	performance	391	peru	SBA	01.02.2002	29.02.2004	1	Domestic Credit	9.30.2002	M		P1R4	P1	R4
P930107780	performance	391	peru	SBA	01.02.2002	29.02.2004	1	Domestic Credit	12.31.2002	Mod		P1R4	P1	R4
P930107781	performance	391	peru	SBA	01.02.2002	29.02.2004	3	BOP/Reserve Test	3.31.2002	M		P1R4	P1	R4
P930107782	performance	391	peru	SBA	01.02.2002	29.02.2004	3	BOP/Reserve Test	6.30.2002	M		P1R4	P1	R4
P930107783	performance	391	peru	SBA	01.02.2002	29.02.2004	3	BOP/Reserve Test	9.30.2002	M		P1R4	P1	R4
P930107784	performance	391	peru	SBA	01.02.2002	29.02.2004	3	BOP/Reserve Test	12.31.2002	M		P1R4	P1	R4
P930107785	performance	391	peru	SBA	01.02.2002	29.02.2004	3	BOP/Reserve Test	3.31.2003	M		P1R4	P1	R4
P930107786	performance	391	peru	SBA	01.02.2002	29.02.2004	3	BOP/Reserve Test	6.30.2003	M		P1R4	P1	R4
P930107787	performance	391	peru	SBA	01.02.2002	29.02.2004	3	BOP/Reserve Test	9.30.2003	M		P1R4	P1	R4
P930107788	performance	391	peru	SBA	01.02.2002	29.02.2004	3	BOP/Reserve Test	12.31.2003	M		P1R4	P1	R4
P930107789	performance	391	peru	SBA	01.02.2002	29.02.2004	4	Med/Long-term Ext Debt Ceiling	3.31.2002	M		P1R4	P1	R4
P930107790	performance	391	peru	SBA	01.02.2002	29.02.2004	4	Med/Long-term Ext Debt Ceiling	6.30.2002	M		P1R4	P1	R4
P930107791	performance	391	peru	SBA	01.02.2002	29.02.2004	4	Med/Long-term Ext Debt Ceiling	9.30.2002	M		P1R4	P1	R4
P930107792	performance	391	peru	SBA	01.02.2002	29.02.2004	4	Med/Long-term Ext Debt Ceiling	12.31.2002	M		P1R4	P1	R4
P930107793	performance	391	peru	SBA	01.02.2002	29.02.2004	4	Med/Long-term Ext Debt Ceiling	3.31.2003	M		P1R4	P1	R4
P930107794	performance	391	peru	SBA	01.02.2002	29.02.2004	4	Med/Long-term Ext Debt Ceiling	6.30.2003	M		P1R4	P1	R4
P930107795	performance	391	peru	SBA	01.02.2002	29.02.2004	4	Med/Long-term Ext Debt Ceiling	9.30.2003	M		P1R4	P1	R4
P930107796	performance	391	peru	SBA	01.02.2002	29.02.2004	4	Med/Long-term Ext Debt Ceiling	12.31.2003	M		P1R4	P1	R4
P930107797	performance	391	peru	SBA	01.02.2002	29.02.2004	5	Med/Long-term Ext Debt-Sub Ceiling	3.31.2002	M		P1R4	P1	R4
P930107798	performance	391	peru	SBA	01.02.2002	29.02.2004	5	Med/Long-term Ext Debt-Sub Ceiling	6.30.2002	M		P1R4	P1	R4
P930107799	performance	391	peru	SBA	01.02.2002	29.02.2004	5	Med/Long-term Ext Debt-Sub Ceiling	9.30.2002	M		P1R4	P1	R4
P930107800	performance	391	peru	SBA	01.02.2002	29.02.2004	5	Med/Long-term Ext Debt-Sub Ceiling	12.31.2002	M		P1R4	P1	R4
P930107801	performance	391	peru	SBA	01.02.2002	29.02.2004	5	Med/Long-term Ext Debt-Sub Ceiling	3.31.2003	M		P1R4	P1	R4
P930107802	performance	391	peru	SBA	01.02.2002	29.02.2004	5	Med/Long-term Ext Debt-Sub Ceiling	6.30.2003	M		P1R4	P1	R4
P930107803	performance	391	peru	SBA	01.02.2002	29.02.2004	5	Med/Long-term Ext Debt-Sub Ceiling	9.30.2003	M		P1R4	P1	R4
P930107804	performance	391	peru	SBA	01.02.2002	29.02.2004	5	Med/Long-term Ext Debt-Sub Ceiling	12.31.2003	M		P1R4	P1	R4
P930107805	performance	391	peru	SBA	01.02.2002	29.02.2004	6	Short-term Debt	3.31.2002	M		P1R4	P1	R4
P930107806	performance	391	peru	SBA	01.02.2002	29.02.2004	6	Short-term Debt	6.30.2002	M		P1R4	P1	R4
P930107807	performance	391	peru	SBA	01.02.2002	29.02.2004	6	Short-term Debt	9.30.2002	PC		P1R4	P1	R4
P930107808	performance	391	peru	SBA	01.02.2002	29.02.2004	6	Short-term Debt	12.31.2002	M		P1R4	P1	R4
P930107809	performance	391	peru	SBA	01.02.2002	29.02.2004	6	Short-term Debt	3.31.2003	M		P1R4	P1	R4
P930107810	performance	391	peru	SBA	01.02.2002	29.02.2004	6	Short-term Debt	6.30.2003	M		P1R4	P1	R4
P930107811	performance	391	peru	SBA	01.02.2002	29.02.2004	6	Short-term Debt	9.30.2003	M		P1R4	P1	R4
P930107812	performance	391	peru	SBA	01.02.2002	29.02.2004	6	Short-term Debt	12.31.2003	M		P1R4	P1	R4
P930107813	performance	391	peru	SBA	01.02.2002	29.02.2004	8	No New External Arrears	Continuous	W		P1R4	P1	R4
P930107814	performance	391	peru	SBA	01.02.2002	29.02.2004	2073	Stock of govt. guarantees for housing support programs	3.31.2002	M		P1R4	P1	R4
P930107815	performance	391	peru	SBA	01.02.2002	29.02.2004	2073	Stock of govt. guarantees for housing support programs	6.30.2002	M		P1R4	P1	R4
P930107816	performance	391	peru	SBA	01.02.2002	29.02.2004	2073	Stock of govt. guarantees for housing support programs	9.30.2002	M		P1R4	P1	R4
P930107817	performance	391	peru	SBA	01.02.2002	29.02.2004	2073	Stock of govt. guarantees for housing support programs	12.31.2002	M		P1R4	P1	R4
P930107818	performance	391	peru	SBA	01.02.2002	29.02.2004	2074	Net consumer lending of Banco Nacion	3.31.2002	M		P1R4	P1	R4
P930107819	performance	391	peru	SBA	01.02.2002	29.02.2004	2074	Net consumer lending of Banco Nacion	6.30.2002	M		P1R4	P1	R4
P930107820	performance	391	peru	SBA	01.02.2002	29.02.2004	2074	Net consumer lending of Banco Nacion	9.30.2002	M		P1R4	P1	R4
P930107821	performance	391	peru	SBA	01.02.2002	29.02.2004	2074	Net consumer lending of Banco Nacion	12.31.2002	M		P1R4	P1	R4
P930107822	performance	391	peru	SBA	01.02.2002	29.02.2004	2074	Net consumer lending of Banco Nacion	3.31.2003	M		P1R4	P1	R4
P930107823	performance	391	peru	SBA	01.02.2002	29.02.2004	2074	Net consumer lending of Banco Nacion	6.30.2003	M		P1R4	P1	R4
P930107824	performance	391	peru	SBA	01.02.2002	29.02.2004	2074	Net consumer lending of Banco Nacion	9.30.2003	M		P1R4	P1	R4
P930107825	performance	391	peru	SBA	01.02.2002	29.02.2004	2074	Net consumer lending of Banco Nacion	12.31.2003	M		P1R4	P1	R4
P930107826	performance	391	peru	SBA	01.02.2002	29.02.2004	2453	Borrowing req. of the combined public sector	3.31.2002	M		P1R4	P1	R4
P930107827	performance	391	peru	SBA	01.02.2002	29.02.2004	2453	Borrowing req. of the combined public sector	6.30.2002	M		P1R4	P1	R4
P930107828	performance	391	peru	SBA	01.02.2002	29.02.2004	2453	Borrowing req. of the combined public sector	9.30.2002	M		P1R4	P1	R4
P930107829	performance	391	peru	SBA	01.02.2002	29.02.2004	2453	Borrowing req. of the combined public sector	12.31.2002	M		P1R4	P1	R4
P930107830	performance	391	peru	SBA	01.02.2002	29.02.2004	2453	Borrowing req. of the combined public sector	3.31.2003	M		P1R4	P1	R4
P930107831	performance	391	peru	SBA	01.02.2002	29.02.2004	2453	Borrowing req. of the combined public sector	6.30.2003	M		P1R4	P1	R4
P930107832	performance	391	peru	SBA	01.02.2002	29.02.2004	2453	Borrowing req. of the combined public sector	9.30.2003	M		P1R4	P1	R4
P930107833	performance	391	peru	SBA	01.02.2002	29.02.2004	2453	Borrowing req. of the combined public sector	12.31.2003	M		P1R4	P1	R4
P930107834	performance	61	philippines	EFF	24.06.1994	31.03.1998	3	BOP/Reserve Test	6.30.1994	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107835	performance	61	philippines	EFF	24.06.1994	31.03.1998	3	BOP/Reserve Test	9.30.1994	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107836	performance	61	philippines	EFF	24.06.1994	31.03.1998	3	BOP/Reserve Test	12.31.1994	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107837	performance	61	philippines	EFF	24.06.1994	31.03.1998	3	BOP/Reserve Test	9.30.1995	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107838	performance	61	philippines	EFF	24.06.1994	31.03.1998	3	BOP/Reserve Test	12.31.1995	NM	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107839	performance	61	philippines	EFF	24.06.1994	31.03.1998	3	BOP/Reserve Test	6.30.1996	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107840	performance	61	philippines	EFF	24.06.1994	31.03.1998	3	BOP/Reserve Test	9.30.1996	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107841	performance	61	philippines	EFF	24.06.1994	31.03.1998	3	BOP/Reserve Test	12.31.1996	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107842	performance	61	philippines	EFF	24.06.1994	31.03.1998	3	BOP/Reserve Test	3.31.1997	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107843	performance	61	philippines	EFF	24.06.1994	31.03.1998	3	BOP/Reserve Test	9.30.1997	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107844	performance	61	philippines	EFF	24.06.1994	31.03.1998	4	Med/Long-term Ext Debt Ceiling	6.30.1994	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107845	performance	61	philippines	EFF	24.06.1994	31.03.1998	4	Med/Long-term Ext Debt Ceiling	9.30.1994	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107846	performance	61	philippines	EFF	24.06.1994	31.03.1998	4	Med/Long-term Ext Debt Ceiling	12.31.1994	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107847	performance	61	philippines	EFF	24.06.1994	31.03.1998	4	Med/Long-term Ext Debt Ceiling	9.30.1995	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107848	performance	61	philippines	EFF	24.06.1994	31.03.1998	4	Med/Long-term Ext Debt Ceiling	12.31.1995	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107849	performance	61	philippines	EFF	24.06.1994	31.03.1998	4	Med/Long-term Ext Debt Ceiling	6.30.1996	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107850	performance	61	philippines	EFF	24.06.1994	31.03.1998	4	Med/Long-term Ext Debt Ceiling	9.30.1996	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107851	performance	61	philippines	EFF	24.06.1994	31.03.1998	4	Med/Long-term Ext Debt Ceiling	12.31.1996	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107852	performance	61	philippines	EFF	24.06.1994	31.03.1998	4	Med/Long-term Ext Debt Ceiling	3.31.1997	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107853	performance	61	philippines	EFF	24.06.1994	31.03.1998	4	Med/Long-term Ext Debt Ceiling	9.30.1997	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107854	performance	61	philippines	EFF	24.06.1994	31.03.1998	5	Med/Long-term Ext Debt-Sub Ceiling	6.30.1994	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107855	performance	61	philippines	EFF	24.06.1994	31.03.1998	5	Med/Long-term Ext Debt-Sub Ceiling	9.30.1994	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107856	performance	61	philippines	EFF	24.06.1994	31.03.1998	5	Med/Long-term Ext Debt-Sub Ceiling	12.31.1994	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107857	performance	61	philippines	EFF	24.06.1994	31.03.1998	5	Med/Long-term Ext Debt-Sub Ceiling	9.30.1995	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107858	performance	61	philippines	EFF	24.06.1994	31.03.1998	5	Med/Long-term Ext Debt-Sub Ceiling	12.31.1995	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107859	performance	61	philippines	EFF	24.06.1994	31.03.1998	5	Med/Long-term Ext Debt-Sub Ceiling	6.30.1996	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107860	performance	61	philippines	EFF	24.06.1994	31.03.1998	5	Med/Long-term Ext Debt-Sub Ceiling	9.30.1996	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107861	performance	61	philippines	EFF	24.06.1994	31.03.1998	5	Med/Long-term Ext Debt-Sub Ceiling	12.31.1996	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107862	performance	61	philippines	EFF	24.06.1994	31.03.1998	5	Med/Long-term Ext Debt-Sub Ceiling	3.31.1997	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107863	performance	61	philippines	EFF	24.06.1994	31.03.1998	5	Med/Long-term Ext Debt-Sub Ceiling	9.30.1997	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107864	performance	61	philippines	EFF	24.06.1994	31.03.1998	6	Short-term Debt	6.30.1994	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107865	performance	61	philippines	EFF	24.06.1994	31.03.1998	6	Short-term Debt	9.30.1994	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107866	performance	61	philippines	EFF	24.06.1994	31.03.1998	6	Short-term Debt	12.31.1994	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107867	performance	61	philippines	EFF	24.06.1994	31.03.1998	6	Short-term Debt	9.30.1995	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
P930107868	performance	61	philippines	EFF	24.06.1994	31.03.1998	6	Short-term Debt	12.31.1995	M	All perf. criteria for 9/96 met except deficit elimination in OPSF. Waiver and modification of end-Dec. OPSF perf. criterion. 4th review was delayed because elements of tax reform legislation not passed; also peso came under pressure culminating in decision to float on 7/11/97 and request for extension to end-97 and augmentation. Arrangement was extended to 3/31/98. Last review: waiver granted for marginal nonobservance of performance criterion on PSBR for 9/30/97.	P1R5	P1	R5
