programnr,Arrangement Number,Country Name,MONA Code,ISO3,Approval Year,arrtype_group,nrquarters,approvaldate,nrcondtype_pc,nrcondtype_pa,nrcondtype_sb,nrcondtype_all,avgcondtype_all,avgcondtype_pc,avgcondtype_pa,avgcondtype_sb,unsc,unsc3,unsc_t1,XDebtGNI,DebtServGNI,ResXDebt,FuelExportPct,MineralExportPct,Rohstoffabhängigkeit
66,569,RWANDA,714,RWA,2006,PRGF,12,2006-06-05,27,15,77,119,9.916666666666666,2.25,1.25,6.416666666666667,0,0,0,33.6578390444203,4.4204,88.0507090626504,0.00416015534860654,31.4407560198606,31.444916175209208
66,569,RWANDA,714,RWA,2006,PRGF,13,2006-06-05,6,3,16,25,1.9230769230769231,0.46153846153846156,0.23076923076923078,1.2307692307692308,0,0,0,33.6578390444203,4.4204,88.0507090626504,0.00416015534860654,31.4407560198606,31.444916175209208
68,571,MADAGASCAR,674,MDG,2006,PRGF,12,2006-07-21,55,28,60,143,11.916666666666666,4.583333333333333,2.3333333333333335,5,0,0,0,62.1028389370244,14.4483,38.1916091358978,5.51020605465603,3.60694833869441,9.11715439335044
72,575,CENTRAL AFRICAN REPUBLIC,626,CAF,2006,PRGF,12,2006-12-22,37,9,27,73,6.083333333333333,3.0833333333333335,0.75,2.25,0,0,0,36.3958702287378,12.2,12.6420101867723,0.0134845615699792,15.7146700640248,15.72815462559478
72,575,CENTRAL AFRICAN REPUBLIC,626,CAF,2006,PRGF,14,2006-12-22,24,9,46,79,5.642857142857143,1.7142857142857142,0.6428571428571429,3.2857142857142856,0,0,0,36.3958702287378,12.2,12.6420101867723,0.0134845615699792,15.7146700640248,15.72815462559478
72,575,CENTRAL AFRICAN REPUBLIC,626,CAF,2006,PRGF,16,2006-12-22,12,6,27,45,2.8125,0.75,0.375,1.6875,0,0,0,36.3958702287378,12.2,12.6420101867723,0.0134845615699792,15.7146700640248,15.72815462559478
73,576,PERU,293,PER,2007,EFF_SBA,8,2007-01-26,3,0,90,93,11.625,0.375,0,11.25,1,1,0,55.6881132836815,16.5452,86.1875113414646,8.57977598074378,49.5566787105114,58.13645469125518
76,579,GABON,646,GAB,2007,EFF_SBA,12,2007-05-07,24,18,52,94,7.833333333333333,2,1.5,4.333333333333333,0,0,0,85.1324791636578,8.6978,24.1251490739474,83.4131671985386,3.60059532421835,87.01376252275695
77,586,NICARAGUA,278,NIC,2007,PRGF,12,2007-10-05,18,11,36,65,5.416666666666667,1.5,0.9166666666666666,3,0,0,0,93.025730229333,28.114,26.8200832502841,0.846082875283833,2.18604355854271,3.032126433826543
77,586,NICARAGUA,278,NIC,2007,PRGF,17,2007-10-05,24,32,58,114,6.705882352941177,1.411764705882353,1.8823529411764706,3.411764705882353,0,0,0,93.025730229333,28.114,26.8200832502841,0.846082875283833,2.18604355854271,3.032126433826543
79,589,GUINEA,656,GIN,2007,PRGF,12,2007-12-21,22,18,19,59,4.916666666666667,1.8333333333333333,1.5,1.5833333333333333,0,0,0,71.1210322265015,4.0248,1.41713322716656,0.864102683278354,73.4419716903088,74.30607437358717
83,594,ZAMBIA,754,ZMB,2008,PRGF,12,2008-06-04,12,0,108,120,10,1,0,9,0,0,0,59.4548891205874,22.0685,37.3035683405447,0.421744083665289,79.7857145794274,80.2074586630927
86,597,GEORGIA,915,GEO,2008,EFF_SBA,6,2008-09-15,7,0,13,20,3.3333333333333335,1.1666666666666667,0,2.1666666666666665,0,0,0,86.2982243681487,13.4236,19.1692633814818,2.95013231247938,20.2382480864755,23.18838039895488
