"ISO3","Year","total_cond","rohstoff_cond","stabil_cond","sonstige_cond","avgcondtype_all","rohstoff_cond_share","stabil_cond_share","FuelExportPct","MineralExportPct","XDebtGNI","DebtServGNI","ResXDebt","unsc","unsc_t1","unsc3","resource_dep","Rohstoffabhängigkeit","region"
"CPV",2002,135,34,102,13,1.00740740740741,0.251851851851852,0.755555555555556,NA,0.041923266103174,101.089702293616,0.8049,19.8825892262737,0,0,0,NA,NA,"SSA"
"CPV",2006,266,24,129,113,0.575187969924812,0.0902255639097744,0.484962406015038,0,0.252610584713906,117.816697232822,0.1375,48.5575617849621,0,0,0,0.252610584713906,0.252610584713906,"SSA"
"CPV",2010,32,0,17,15,0.53125,0,0.53125,0,0.886651706391125,85.5484498816191,0,43.1904364200831,0,0,0,0.886651706391125,0.886651706391125,"SSA"
"CPV",2019,49,0,35,14,0.714285714285714,0,0.714285714285714,0,0.162556583851755,103.602656463726,15.1147,34.2729983351114,0,0,0,0.162556583851755,0.162556583851755,"SSA"
"CPV",2022,188,0,125,63,0.664893617021277,0,0.664893617021277,0,0.00576283024949212,96.9941368513357,16.4615,30.3660227232231,0,0,0,0.00576283024949212,0.00576283024949212,"SSA"
"CRI",2009,23,0,8,15,0.347826086956522,0,0.347826086956522,0.564266128388826,0.736285165169548,69.7593172897331,NA,NA,1,1,1,1.30055129355837,1.30055129355837,"LAC"
"CRI",2021,80,0,61,19,0.7625,0,0.7625,0.021567003753793,1.65528808128059,70.103693305909,NA,NA,0,0,0,1.67685508503438,1.67685508503438,"LAC"
"CYP",2013,332,11,116,211,0.382530120481928,0.0331325301204819,0.349397590361446,2.30321642764847e-05,11.4983139277849,120.926200639389,NA,NA,0,0,0,11.4983369599492,11.4983369599492,"ECA"
"DJI",2008,227,38,142,57,0.79295154185022,0.167400881057269,0.625550660792952,NA,NA,NA,17.3586,20.7629915664544,0,0,0,NA,NA,"SSA"
"DMA",2002,59,14,21,27,0.593220338983051,0.23728813559322,0.355932203389831,0,3.74047696678161,NA,10.5847,18.2806353125478,0,0,0,3.74047696678161,3.74047696678161,"LAC"
"DMA",2003,122,0,54,68,0.442622950819672,0,0.442622950819672,0,4.38973183206148,NA,24.0149,15.5290238861307,0,0,0,4.38973183206148,4.38973183206148,"LAC"
"DOM",2003,63,0,31,32,0.492063492063492,0,0.492063492063492,2.5885470393514,0.451525526676631,84.4495031861592,14.1746,3.84155226343977,0,0,0,3.04007256602803,3.04007256602803,"LAC"
"DOM",2005,500,21,298,187,0.638,0.042,0.596,5.2442182706843,0.66806770432309,61.6535587358027,11.4441,24.8954762689644,0,0,0,5.91228597500739,5.91228597500739,"LAC"
"DOM",2009,80,7,44,34,0.6375,0.0875,0.55,5.84510534150755,2.50389439109212,50.6509376792025,14.8042,30.2026382779909,0,0,0,8.34899973259967,8.34899973259967,"LAC"
"ECU",2003,67,10,26,33,0.537313432835821,0.149253731343284,0.388059701492537,43.1626885974467,0.188013321764884,52.3575426975979,8.5831,5.83353234017495,0,0,0,43.3507019192116,43.3507019192116,"LAC"
"ECU",2019,88,8,75,13,0.943181818181818,0.0909090909090909,0.852272727272727,39.1701538590398,1.39691194692572,48.0828494933307,1.7967,5.66194579175655,0,0,0,40.5670658059655,40.5670658059655,"LAC"
"ECU",2020,189,0,157,32,0.830687830687831,0,0.830687830687831,26.0572897017572,4.12023735620389,43.9893109378389,2.0009,12.6541377163322,0,0,0,30.1775270579611,30.1775270579611,"LAC"
"ECU",2024,197,21,143,46,0.83248730964467,0.106598984771574,0.725888324873096,27.4813880702454,6.88594032491159,57.4436448205751,1.0373,11.4433443189908,1,1,1,34.367328395157,34.367328395157,"LAC"
"EGY",2016,259,42,185,62,0.876447876447876,0.162162162162162,0.714285714285714,13.7657934284608,3.66341693440169,30.2465490514505,17.2647,34.1714098122744,1,0,1,17.4292103628625,17.4292103628625,"MENA"
"EGY",2020,27,3,18,9,0.777777777777778,0.111111111111111,0.666666666666667,20.6229583667758,3.63017505658444,32.1262555667523,9.0228,29.404851483048,0,0,0,24.2531334233602,24.2531334233602,"MENA"
"EGY",2022,180,31,137,40,0.933333333333333,0.172222222222222,0.761111111111111,35.9532117277136,2.91694131479414,36.9831048772713,18.5434,19.7067253909647,0,0,0,38.8701530425077,38.8701530425077,"MENA"
"ETH",2009,24,0,19,5,0.791666666666667,0,0.791666666666667,0.00140983458174667,1.26154404333598,NA,4.2712,33.2164688138407,0,0,0,1.26295387791773,1.26295387791773,"SSA"
"ETH",2019,13,1,10,2,0.846153846153846,0.0769230769230769,0.769230769230769,0.000100158271942029,0.417258764730303,28.8152939292608,1.5874,9.85176687079036,0,1,1,0.417358923002245,0.417358923002245,"SSA"
"ETH",2024,77,11,50,16,0.792207792207792,0.142857142857143,0.649350649350649,NA,NA,17.4004358586815,0.9621,10.3544942459446,0,0,0,NA,NA,"SSA"
