"wdicode","year","country","unsc","unsc_t1","unsc3"
"GHA",2020,"",0,0,0
"GIN",2020,"",0,0,0
"GMB",2020,"",0,0,0
"GNB",2020,"",0,0,0
"GNQ",2020,"",0,1,1
"IRQ",2020,"",0,0,0
"JOR",2020,"",0,0,0
"KEN",2020,"",0,0,0
"LBR",2020,"",0,0,0
"LSO",2020,"",0,0,0
"MDG",2020,"",0,0,0
"MLI",2020,"",0,0,0
"MOZ",2020,"",0,0,0
"MRT",2020,"",0,0,0
"MWI",2020,"",0,0,0
"NER",2020,"Niger",1,0,1
"NGA",2020,"",0,0,0
"RWA",2020,"",0,0,0
"SDN",2020,"",0,0,0
"SEN",2020,"",0,0,0
"SLE",2020,"",0,0,0
"SLV",2020,"",0,0,0
"SOM",2020,"",0,0,0
"STP",2020,"",0,0,0
"SUR",2020,"",0,0,0
"TCD",2020,"",0,0,0
"TGO",2020,"",0,0,0
"TUN",2020,"Tunisia",1,0,1
"TZA",2020,"",0,0,0
"UGA",2020,"",0,0,0
"YEM",2020,"",0,0,0
"ZMB",2020,"",0,0,0
"AGO",2021,"",0,0,0
"BDI",2021,"",0,0,0
"BEN",2021,"",0,0,0
"BFA",2021,"",0,0,0
"CAF",2021,"",0,0,0
"CIV",2021,"",0,0,0
"CMR",2021,"",0,0,0
"COD",2021,"",0,0,0
"COG",2021,"",0,0,0
"COM",2021,"",0,0,0
"CPV",2021,"",0,0,0
"DJI",2021,"",0,0,0
"EGY",2021,"",0,0,0
"ETH",2021,"",0,0,0
"GAB",2021,"",0,0,0
"GHA",2021,"",0,0,0
"GIN",2021,"",0,0,0
"GMB",2021,"",0,0,0
"GNB",2021,"",0,0,0
"GNQ",2021,"",0,0,0
"IRQ",2021,"",0,0,0
"JOR",2021,"",0,0,0
"KEN",2021,"Kenya",1,0,1
"LBR",2021,"",0,0,0
"LSO",2021,"",0,0,0
"MDG",2021,"",0,0,0
"MLI",2021,"",0,0,0
"MOZ",2021,"",0,0,0
"MRT",2021,"",0,0,0
"MWI",2021,"",0,0,0
"NER",2021,"Niger",1,1,1
"NGA",2021,"",0,0,0
"RWA",2021,"",0,0,0
"SDN",2021,"",0,0,0
"SEN",2021,"",0,0,0
"SLE",2021,"",0,0,0
"SLV",2021,"",0,0,0
"SOM",2021,"",0,0,0
"STP",2021,"",0,0,0
"SUR",2021,"",0,0,0
"TCD",2021,"",0,0,0
"TGO",2021,"",0,0,0
"TUN",2021,"Tunisia",1,1,1
"TZA",2021,"",0,0,0
"UGA",2021,"",0,0,0
"YEM",2021,"",0,0,0
"ZMB",2021,"",0,0,0
"AGO",2022,"",0,0,0
"BDI",2022,"",0,0,0
"BEN",2022,"",0,0,0
"BFA",2022,"",0,0,0
"CAF",2022,"",0,0,0
"CIV",2022,"",0,0,0
"CMR",2022,"",0,0,0
"COD",2022,"",0,0,0
"COG",2022,"",0,0,0
"COM",2022,"",0,0,0
"CPV",2022,"",0,0,0
"DJI",2022,"",0,0,0
"EGY",2022,"",0,0,0
"ETH",2022,"",0,0,0
"GAB",2022,"Gabon",1,0,1
"GHA",2022,"Ghana",1,0,1
"GIN",2022,"",0,0,0
"GMB",2022,"",0,0,0
"GNB",2022,"",0,0,0
"GNQ",2022,"",0,0,0
"IRQ",2022,"",0,0,0
"JOR",2022,"",0,0,0
"KEN",2022,"Kenya",1,1,1
"LBR",2022,"",0,0,0
"LSO",2022,"",0,0,0
"MDG",2022,"",0,0,0
"MLI",2022,"",0,0,0
"MOZ",2022,"",0,0,0
"MRT",2022,"",0,0,0
"MWI",2022,"",0,0,0
"NER",2022,"",0,1,1
"NGA",2022,"",0,0,0
"RWA",2022,"",0,0,0
"SDN",2022,"",0,0,0
"SEN",2022,"",0,0,0
"SLE",2022,"",0,0,0
"SLV",2022,"",0,0,0
"SOM",2022,"",0,0,0
"STP",2022,"",0,0,0
"SUR",2022,"",0,0,0
"TCD",2022,"",0,0,0
"TGO",2022,"",0,0,0
"TUN",2022,"",0,1,1
"TZA",2022,"",0,0,0
"UGA",2022,"",0,0,0
"YEM",2022,"",0,0,0
"ZMB",2022,"",0,0,0
"AGO",2023,"",0,0,0
"BDI",2023,"",0,0,0
"BEN",2023,"",0,0,0
"BFA",2023,"",0,0,0
"CAF",2023,"",0,0,0
"CIV",2023,"",0,0,0
"CMR",2023,"",0,0,0
"COD",2023,"",0,0,0
"COG",2023,"",0,0,0
"COM",2023,"",0,0,0
"CPV",2023,"",0,0,0
"DJI",2023,"",0,0,0
"EGY",2023,"",0,0,0
"ETH",2023,"",0,0,0
"GAB",2023,"Gabon",1,1,1
"GHA",2023,"Ghana",1,1,1
"GIN",2023,"",0,0,0
"GMB",2023,"",0,0,0
"GNB",2023,"",0,0,0
"GNQ",2023,"",0,0,0
"IRQ",2023,"",0,0,0
"JOR",2023,"",0,0,0
"KEN",2023,"",0,1,1
"LBR",2023,"",0,0,0
"LSO",2023,"",0,0,0
"MDG",2023,"",0,0,0
"MLI",2023,"",0,0,0
"MOZ",2023,"Mozambique",1,0,1
"MRT",2023,"",0,0,0
"MWI",2023,"",0,0,0
"NER",2023,"",0,0,0
"NGA",2023,"",0,0,0
"RWA",2023,"",0,0,0
"SDN",2023,"",0,0,0
"SEN",2023,"",0,0,0
"SLE",2023,"",0,0,0
"SLV",2023,"",0,0,0
"SOM",2023,"",0,0,0
"STP",2023,"",0,0,0
"SUR",2023,"",0,0,0
"TCD",2023,"",0,0,0
"TGO",2023,"",0,0,0
"TUN",2023,"",0,0,0
"TZA",2023,"",0,0,0
"UGA",2023,"",0,0,0
"YEM",2023,"",0,0,0
"ZMB",2023,"",0,0,0
"AGO",2024,"",0,0,0
"BDI",2024,"",0,0,0
"BEN",2024,"",0,0,0
"BFA",2024,"",0,0,0
"CAF",2024,"",0,0,0
"CIV",2024,"",0,0,0
"CMR",2024,"",0,0,0
"COD",2024,"",0,0,0
"COG",2024,"",0,0,0
"COM",2024,"",0,0,0
"CPV",2024,"",0,0,0
"DJI",2024,"",0,0,0
"EGY",2024,"",0,0,0
"ETH",2024,"",0,0,0
"GAB",2024,"",0,1,1
"GHA",2024,"",0,1,1
"GIN",2024,"",0,0,0
"GMB",2024,"",0,0,0
"GNB",2024,"",0,0,0
"GNQ",2024,"",0,0,0
"IRQ",2024,"",0,0,0
"JOR",2024,"",0,0,0
"KEN",2024,"",0,0,0
"LBR",2024,"",0,0,0
"LSO",2024,"",0,0,0
"MDG",2024,"",0,0,0
"MLI",2024,"",0,0,0
"MOZ",2024,"Mozambique",1,1,1
"MRT",2024,"",0,0,0
"MWI",2024,"",0,0,0
"NER",2024,"",0,0,0
"NGA",2024,"",0,0,0
"RWA",2024,"",0,0,0
"SDN",2024,"",0,0,0
"SEN",2024,"",0,0,0
"SLE",2024,"Sierra Leone",1,0,1
"SLV",2024,"",0,0,0
"SOM",2024,"",0,0,0
"STP",2024,"",0,0,0
"SUR",2024,"",0,0,0
"TCD",2024,"",0,0,0
"TGO",2024,"",0,0,0
"TUN",2024,"",0,0,0
"TZA",2024,"",0,0,0
"UGA",2024,"",0,0,0
"YEM",2024,"",0,0,0
"ZMB",2024,"",0,0,0
"AGO",2025,"",0,0,0
"BDI",2025,"",0,0,0
"BEN",2025,"",0,0,0
"BFA",2025,"",0,0,0
"CAF",2025,"",0,0,0
"CIV",2025,"",0,0,0
"CMR",2025,"",0,0,0
"COD",2025,"",0,0,0
"COG",2025,"",0,0,0
"COM",2025,"",0,0,0
"CPV",2025,"",0,0,0
"DJI",2025,"",0,0,0
"EGY",2025,"",0,0,0
"ETH",2025,"",0,0,0
"GAB",2025,"",0,0,0
"GHA",2025,"",0,0,0
"GIN",2025,"",0,0,0
"GMB",2025,"",0,0,0
"GNB",2025,"",0,0,0
"GNQ",2025,"",0,0,0
"IRQ",2025,"",0,0,0
"JOR",2025,"",0,0,0
"KEN",2025,"",0,0,0
"LBR",2025,"",0,0,0
"LSO",2025,"",0,0,0
"MDG",2025,"",0,0,0
"MLI",2025,"",0,0,0
"MOZ",2025,"",0,1,1
"MRT",2025,"",0,0,0
"MWI",2025,"",0,0,0
"NER",2025,"",0,0,0
"NGA",2025,"",0,0,0
"RWA",2025,"",0,0,0
"SDN",2025,"",0,0,0
"SEN",2025,"",0,0,0
"SLE",2025,"Sierra Leone",1,1,1
"SLV",2025,"",0,0,0
"SOM",2025,"Somalia",1,0,1
"STP",2025,"",0,0,0
"SUR",2025,"",0,0,0
"TCD",2025,"",0,0,0
"TGO",2025,"",0,0,0
"TUN",2025,"",0,0,0
"TZA",2025,"",0,0,0
"UGA",2025,"",0,0,0
"YEM",2025,"",0,0,0
"ZMB",2025,"",0,0,0
