id,year,security_council_member,last_update
621,1992,Russian Federation,2026-07-02
622,1992,United Kingdom of Great Britain and Northern Ireland,2026-07-02
623,1992,United States of America,2026-07-02
624,1992,Venezuela (Bolivarian Republic of),2026-07-02
625,1992,Zimbabwe,2026-07-02
626,1993,Brazil,2026-07-02
627,1993,Cabo Verde,2026-07-02
628,1993,China,2026-07-02
629,1993,Djibouti,2026-07-02
630,1993,France,2026-07-02
631,1993,Hungary,2026-07-02
632,1993,Japan,2026-07-02
633,1993,Morocco,2026-07-02
634,1993,New Zealand,2026-07-02
635,1993,Pakistan,2026-07-02
636,1993,Russian Federation,2026-07-02
637,1993,Spain,2026-07-02
638,1993,United Kingdom of Great Britain and Northern Ireland,2026-07-02
639,1993,United States of America,2026-07-02
640,1993,Venezuela (Bolivarian Republic of),2026-07-02
641,1994,Argentina,2026-07-02
642,1994,Brazil,2026-07-02
643,1994,China,2026-07-02
644,1994,Czechia,2026-07-02
645,1994,Djibouti,2026-07-02
646,1994,France,2026-07-02
647,1994,New Zealand,2026-07-02
648,1994,Nigeria,2026-07-02
649,1994,Oman,2026-07-02
650,1994,Pakistan,2026-07-02
651,1994,Russian Federation,2026-07-02
652,1994,Rwanda,2026-07-02
653,1994,Spain,2026-07-02
654,1994,United Kingdom of Great Britain and Northern Ireland,2026-07-02
655,1994,United States of America,2026-07-02
656,1995,Argentina,2026-07-02
657,1995,Botswana,2026-07-02
658,1995,China,2026-07-02
659,1995,Czechia,2026-07-02
660,1995,France,2026-07-02
661,1995,Germany,2026-07-02
662,1995,Honduras,2026-07-02
663,1995,Indonesia,2026-07-02
664,1995,Italy,2026-07-02
665,1995,Nigeria,2026-07-02
666,1995,Oman,2026-07-02
667,1995,Russian Federation,2026-07-02
668,1995,Rwanda,2026-07-02
669,1995,United Kingdom of Great Britain and Northern Ireland,2026-07-02
670,1995,United States of America,2026-07-02
671,1996,Botswana,2026-07-02
672,1996,Chile,2026-07-02
673,1996,China,2026-07-02
674,1996,Egypt,2026-07-02
675,1996,France,2026-07-02
676,1996,Germany,2026-07-02
677,1996,Guinea-Bissau,2026-07-02
678,1996,Honduras,2026-07-02
679,1996,Indonesia,2026-07-02
680,1996,Italy,2026-07-02
681,1996,Poland,2026-07-02
682,1996,Republic of Korea,2026-07-02
683,1996,Russian Federation,2026-07-02
684,1996,United Kingdom of Great Britain and Northern Ireland,2026-07-02
685,1996,United States of America,2026-07-02
686,1997,Chile,2026-07-02
687,1997,China,2026-07-02
688,1997,Costa Rica,2026-07-02
689,1997,Egypt,2026-07-02
690,1997,France,2026-07-02
691,1997,Guinea-Bissau,2026-07-02
692,1997,Japan,2026-07-02
693,1997,Kenya,2026-07-02
694,1997,Poland,2026-07-02
695,1997,Portugal,2026-07-02
696,1997,Republic of Korea,2026-07-02
697,1997,Russian Federation,2026-07-02
698,1997,Sweden,2026-07-02
699,1997,United Kingdom of Great Britain and Northern Ireland,2026-07-02
700,1997,United States of America,2026-07-02
701,1998,Bahrain,2026-07-02
702,1998,Brazil,2026-07-02
703,1998,China,2026-07-02
704,1998,Costa Rica,2026-07-02
705,1998,France,2026-07-02
706,1998,Gabon,2026-07-02
707,1998,Gambia,2026-07-02
708,1998,Japan,2026-07-02
709,1998,Kenya,2026-07-02
710,1998,Portugal,2026-07-02
711,1998,Russian Federation,2026-07-02
712,1998,Slovenia,2026-07-02
713,1998,Sweden,2026-07-02
714,1998,United Kingdom of Great Britain and Northern Ireland,2026-07-02
715,1998,United States of America,2026-07-02
716,1999,Argentina,2026-07-02
717,1999,Bahrain,2026-07-02
718,1999,Brazil,2026-07-02
719,1999,Canada,2026-07-02
720,1999,China,2026-07-02
721,1999,France,2026-07-02
722,1999,Gabon,2026-07-02
723,1999,Gambia,2026-07-02
724,1999,Malaysia,2026-07-02
725,1999,Namibia,2026-07-02
726,1999,Netherlands,2026-07-02
