"ISO3","year","unsc","unsc_t1","unsc3"
"GHA",1949,0,0,0
"GRC",1949,0,0,0
"GTM",1949,0,0,0
"GIN",1949,0,0,0
"GNB",1949,0,0,0
"GUY",1949,0,0,0
"HND",1949,0,0,0
"HUN",1949,0,0,0
"IND",1949,0,0,0
"IDN",1949,0,0,0
"IRQ",1949,0,0,0
"IRL",1949,0,0,0
"ITA",1949,0,0,0
"JAM",1949,0,0,0
"JPN",1949,0,0,0
"JOR",1949,0,0,0
"KAZ",1949,0,0,0
"KEN",1949,0,0,0
"KWT",1949,0,0,0
"LVA",1949,0,0,0
"LBN",1949,0,0,0
"LBR",1949,0,0,0
"LBY",1949,0,0,0
"LTU",1949,0,0,0
"LUX",1949,0,0,0
"MDG",1949,0,0,0
"MYS",1949,0,0,0
"MLI",1949,0,0,0
"MLT",1949,0,0,0
"MRT",1949,0,0,0
"MUS",1949,0,0,0
"MEX",1949,0,0,0
"MAR",1949,0,0,0
"MOZ",1949,0,0,0
"NAM",1949,0,0,0
"NPL",1949,0,0,0
"NLD",1949,0,0,0
"NZL",1949,0,0,0
"NIC",1949,0,0,0
"NER",1949,0,0,0
"NGA",1949,0,0,0
"NOR",1949,1,0,1
"OMN",1949,0,0,0
"PAK",1949,0,0,0
"PAN",1949,0,0,0
"PRY",1949,0,0,0
"PER",1949,0,0,0
"PHL",1949,0,0,0
"POL",1949,0,0,0
"PRT",1949,0,0,0
"QAT",1949,0,0,0
"ROU",1949,0,0,0
"RUS",1949,0,0,0
"RWA",1949,0,0,0
"SEN",1949,0,0,0
"SLE",1949,0,0,0
"SGP",1949,0,0,0
"SVN",1949,0,0,0
"ZAF",1949,0,0,0
"ESP",1949,0,0,0
"LKA",1949,0,0,0
"SDN",1949,0,0,0
"SWE",1949,0,0,0
"CHE",1949,0,0,0
"SYR",1949,0,1,1
"THA",1949,0,0,0
"TGO",1949,0,0,0
"TTO",1949,0,0,0
"TUN",1949,0,0,0
"UGA",1949,0,0,0
"UKR",1949,0,0,0
"ARE",1949,0,0,0
"URY",1949,0,0,0
"VNM",1949,0,0,0
"ZMB",1949,0,0,0
"ZWE",1949,0,0,0
"ALB",1950,0,0,0
"DZA",1950,0,0,0
"AGO",1950,0,0,0
"ARG",1950,0,1,1
"AUS",1950,0,0,0
"AUT",1950,0,0,0
"AZE",1950,0,0,0
"BHR",1950,0,0,0
"BGD",1950,0,0,0
"BLR",1950,0,0,0
"BEL",1950,0,0,0
"BEN",1950,0,0,0
"BIH",1950,0,0,0
"BWA",1950,0,0,0
"BRA",1950,0,0,0
"BGR",1950,0,0,0
"BFA",1950,0,0,0
"BDI",1950,0,0,0
"CPV",1950,0,0,0
"CMR",1950,0,0,0
"CAN",1950,0,1,1
"TCD",1950,0,0,0
"CHL",1950,0,0,0
"CHN",1950,1,1,1
"COL",1950,0,0,0
"CRI",1950,0,0,0
"HRV",1950,0,0,0
"CUB",1950,1,1,1
"CZE",1950,0,0,0
"DNK",1950,0,0,0
"DJI",1950,0,0,0
"DOM",1950,0,0,0
"ECU",1950,1,0,1
"GNQ",1950,0,0,0
"EST",1950,0,0,0
"ETH",1950,0,0,0
"FIN",1950,0,0,0
"FRA",1950,1,1,1
"GAB",1950,0,0,0
"DEU",1950,0,0,0
"GHA",1950,0,0,0
"GRC",1950,0,0,0
"GTM",1950,0,0,0
"GIN",1950,0,0,0
"GNB",1950,0,0,0
"GUY",1950,0,0,0
"HND",1950,0,0,0
"HUN",1950,0,0,0
"IND",1950,1,0,1
"IDN",1950,0,0,0
"IRQ",1950,0,0,0
"IRL",1950,0,0,0
"ITA",1950,0,0,0
"JAM",1950,0,0,0
"JPN",1950,0,0,0
"JOR",1950,0,0,0
"KAZ",1950,0,0,0
"KEN",1950,0,0,0
"KWT",1950,0,0,0
"LVA",1950,0,0,0
"LBN",1950,0,0,0
"LBR",1950,0,0,0
"LBY",1950,0,0,0
"LTU",1950,0,0,0
"LUX",1950,0,0,0
"MDG",1950,0,0,0
"MYS",1950,0,0,0
"MLI",1950,0,0,0
"MLT",1950,0,0,0
"MRT",1950,0,0,0
"MUS",1950,0,0,0
"MEX",1950,0,0,0
"MAR",1950,0,0,0
"MOZ",1950,0,0,0
"NAM",1950,0,0,0
"NPL",1950,0,0,0
"NLD",1950,0,0,0
"NZL",1950,0,0,0
"NIC",1950,0,0,0
"NER",1950,0,0,0
"NGA",1950,0,0,0
"NOR",1950,1,1,1
"OMN",1950,0,0,0
"PAK",1950,0,0,0
"PAN",1950,0,0,0
"PRY",1950,0,0,0
"PER",1950,0,0,0
"PHL",1950,0,0,0
"POL",1950,0,0,0
"PRT",1950,0,0,0
"QAT",1950,0,0,0
"ROU",1950,0,0,0
"RUS",1950,0,0,0
"RWA",1950,0,0,0
"SEN",1950,0,0,0
"SLE",1950,0,0,0
"SGP",1950,0,0,0
"SVN",1950,0,0,0
"ZAF",1950,0,0,0
"ESP",1950,0,0,0
"LKA",1950,0,0,0
"SDN",1950,0,0,0
