Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,236792460312.471,236746141604.37,258383599375.177,318082528506.588,369214712443.206,385714762230.039,408259840868.823,470922156309.453,517328087920.078,485014525992.461,481556503720.001,527196649048.639,498414364944.961,524097026598.55,537987419164.351,461044767544.531,474271566739.729,500908767351.53,542638913427.921,536726344405.489,529694473501.791,598522422241.851,591474463578.602,650779364363.737,670983130618.828,725466462859.646
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,1138138100,1172045150,1243912050,1308280250,1400202000,1474298400,1590463100,1706190450,1738453600,1688012750,1748988400,1831576700,1917083500,2035191450,2138242200,2193095150,2239604950,2266028250,2285915050,2381187850,2047284600,2428606250,2846604350,3052362650,3203631800,3326500000
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,3519991440.47913,3666222635.13875,4194342686.2178,5349258094.48239,6190270380.49856,6567654954.38903,7034111314.88812,8169048382.83875,9787734526.23965,9738626517.00319,9535345015.78355,10693321363.6574,11141358115.8991,12517845123.9315,13284527846.9081,11388160996.7738,11821065853.3838,12701655836.9467,14262408089.9261,14391686313.4641,15686741883.934,17687623530.3355,17425405090.862,19673291004.1444,21482643706.4249,24566420903.5337
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6887364000,7290037000,7767884000,8602360000,9194499000,..
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,460733418.399276,496110225.710307,559345263.708309,651935430.314445,735348490.428435,860391000.221655,942879878.538879,1255767964.00491,1317517834.59916,1331343797.77308,1708880730.20989,1977728658.68259,1973387227.96519,1943696951.65411,2089079570.58285,2187815803.36833,2357504760.78592,2591358009.20276,2583335721.85904,2735683570.46155,2457604333.90927,2768802960.11204,2898227743.75576,3012896789.79753,3346603858.7495,3579320145.13077
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,8397855484.76908,8141516928.39489,7905485146.44351,8082399639.54305,8773451751.5121,9549122905.32852,11451844902.2214,13120108008.3477,16674276285.8956,17339992193.7322,19649723722.1034,23963164696.592,27084497481.9103,30659338885.6729,32996188017.3661,33000198248.9146,33941126193.9219,45927439594.7902,48414038842.2576,49056643589.0014,42313784081.042,47877892402.3155,50959081953.6903,52340206946.4544,54881327452.9667,64768947525.3256
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,5567772768.81188,5800615374.76094,6728220982.88398,8498894359.38629,10156541220.9704,11222796336.5426,12864841905.9543,15778734264.3787,19112796623.1175,17613949091.2294,17176315803.7298,18644233537.1093,17226735995.6905,18179109209.3892,18558734107.1478,16404348361.0926,17116926553.8513,18326373135.6099,20484058033.1144,20482608984.3316,20226038369.9191,23672712121.2671,24534663636.1778,27592361498.4057,29737363103.0492,32599982936.3931
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,5788329609.15755,5489608299.66445,5438863982.88692,7511582173.37724,8957467706.5354,9918907108.09702,9919158482.41085,10567270655.5027,10730829116.4105,10118459242.3183,12637273429.1339,15110643612.1729,13907464500.1489,14271738933.2042,15470088500.7414,13530748844.505,15082637184.0496,16105155856.7708,17031943186.1353,16725908148.5481,14960251607.8135,18750182236.2211,20321150599.1523,19413614554.6944,19286251067.5078,19928479839.4476
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,655448231983.527,559983634798.981,509795273806.715,558233745651.874,669289424806.307,891633839894.183,1107626541434.92,1397114486368.67,1695855083497.52,1666996438581.43,2208837745100.55,2616156223917.69,2465227802806.76,2472819535557.21,2456043727198.85,1802212206814.5,1795693482853.01,2063514977365.65,1916933898010.99,1873288205059.69,1476107231310.49,1670647398904.9,1951923942083.32,2191131765684.63,2185821610689.31,2279920092492.13
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,6570999087.56742,6096155767.38145,6333082875.56937,7167725261.92713,8619178773.51458,10547202620.5286,12644616418.691,13432029484.4012,15926456515.0049,11912904509.8582,13707121038.4383,18524791062.657,19048443340.7732,18094148098.6536,17097797386.0336,12930296870.1247,11400266044.6651,12128168045.1245,13566908391.0895,13469235364.7032,12005799653.9835,14006496617.4458,16681536466.7183,15095084656.1634,15340808592.48,15031980994.1121
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,13246669553.9701,14184170318.951,16403880782.9964,21146038619.2612,26159078743.1056,29870182424.913,34382295487.2238,44433521724.8301,54483464293.1671,52026461289.6618,50691645231.0083,57684243980.4624,54299825600.0647,55822115861.1854,57083817239.8145,50768512172.9373,53932152153.5457,59170671046.4798,66100606676.6544,68511235459.4907,70490478088.1395,84378926047.3002,90510784777.6397,102204457334.822,113349149166.793,130777235529.606
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,2968370087.59759,3190371080.94768,3622350062.96053,4740768142.67494,5451688537.60959,6146353173.34929,6547419820.38113,7625722836.76847,9451435490.11467,9450696873.34326,10109619740.6994,12080295977.5632,12561015156.5683,13444300485.8412,13943016076.7436,11832159315.6298,12833363045.3367,14106955615.3442,15890066221.2882,16032813503.3707,17725010532.5268,19697516284.3787,18622421394.6133,20106062971.6533,23136514855.7646,27627297461.3181
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,870486065.883137,876794723.068586,825394519.423728,784654423.620476,915257323.3961,1117113079.73645,1273375078.44844,1356199387.42308,1611835857.04588,1775495032.424,2032135192.01248,2235812879.56709,2327402362.81574,2451624637.67157,2705826648.21019,2810532912.49975,2618093125.14687,2831362208.34039,2913411408.44783,2871555326.31029,3188355943.63513,3425127990.70519,4020736756.64256,3419558408.35408,3037579858.38142,3364713864.08488
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,539227277.626411,563090490.377368,620507387.466174,813260468.873834,924940011.836897,972241676.907662,1107571457.90614,1649621738.63689,1959620648.31578,1852334575.17521,1824751467.92957,2046817987.20109,1913081210.41411,2028910915.16446,2041930125.42979,1749857620.35329,1849789985.99572,1996741539.95088,2205099506.99994,2252177124.32402,1821565613.68613,2051842618.70539,2247003344.34242,2504525537.51069,2713721857.39153,3056630435.32463
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,3694168979.32019,4145665969.92864,4501227626.62752,5046693484.31767,5883297159.87352,7066296463.3598,8350531016.65753,10127916459.8983,12174303999.0812,12502901169.7377,13808673288.0696,16032622023.8265,17826536699.8016,19807135252.8649,22041463967.9009,24174170369.0738,26556545153.3573,29355665909.7905,33145892168.8958,36685356407.7206,34818073901.4851,36790163687.4421,39994532959.6074,42335646895.7984,46352647037.2406,51267065842.9641
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,10566579294.9831,10953485349.1135,12417251350.4882,15970315034.9903,18826214135.6419,19509852206.9341,20910512974.933,23928250433.0378,27715142032.913,27932970317.129,27507501821.0296,30630910495.217,30155062329.2821,33728621180.3231,36386544706.0806,32210233020.4569,33814337044.3765,36098547033.1655,39955552189.795,39667757527.6578,40773241177.0505,45011937346.8384,44347206072.5513,48814501547.4313,53296694320.2057,58933453923.761
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,744773415931.587,738981792355.372,760650608551.583,895542074084.648,1026691006917.76,1173118501402.87,1319291255289.14,1468820407783.26,1552993439550.14,1374627766599.6,1617349192091.46,1793335727900.85,1828359477071.97,1846583831414.43,1805751688808.98,1556510380200.23,1527996250640.92,1649269496514.62,1725330736237.69,1743728952156.85,1655686966881.99,2022377950896.78,2200562785046.32,2196593836347.42,2270076189683.46,2319899772425.92
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,..,..,..,..,..,..,4200288241.15296,4466278065.11226,4585949023.79609,4281714566.85827,4156841107.36443,4186073104.29242,4291004524.0181,4405796023.18409,4562853611.41445,4708167232.66893,4909322237.28895,5166281305.12522,5530178440.71376,5941896607.58643,5655357984.24218,6060813808.15072,6653516041.43929,7308564549.28678,7765336505.34319,..
